SYMBOL,YAHOOSYMBOL
BGLOBAL,BGLOBAL.NS
BGRENERGY,BGRENERGY.NS
BHAGERIA,BHAGERIA.NS
BHAGYANGR,BHAGYANGR.NS
BHAGYAPROP,BHAGYAPROP.NS
BHANDARI,BHANDARI.NS
BHARATFORG,BHARATFORG.NS
BHARATGEAR,BHARATGEAR.NS
BHARATRAS,BHARATRAS.NS
BHARATWIRE,BHARATWIRE.NS
BHARTIARTL,BHARTIARTL.NS
BHEL,BHEL.NS
BIGBLOC,BIGBLOC.NS
BIL,BIL.NS
BILENERGY,BILENERGY.NS
BINDALAGRO,BINDALAGRO.NS
BIOCON,BIOCON.NS
BIOFILCHEM,BIOFILCHEM.NS
BIRET,BIRET.NS
BIRLACABLE,BIRLACABLE.NS
BIRLACORPN,BIRLACORPN.NS
BIRLAMONEY,BIRLAMONEY.NS
BIRLATYRE,BIRLATYRE.NS
BKMINDST,BKMINDST.NS
BLBLIMITED,BLBLIMITED.NS
BLISSGVS,BLISSGVS.NS
BLKASHYAP,BLKASHYAP.NS
BLS,BLS.NS
BLUEDART,BLUEDART.NS
BLUESTARCO,BLUESTARCO.NS
BODALCHEM,BODALCHEM.NS
BOHRA,BOHRA.NS
BOMDYEING,BOMDYEING.NS
BOROLTD,BOROLTD.NS
BORORENEW,BORORENEW.NS
BOSCHLTD,BOSCHLTD.NS
BPCL,BPCL.NS
BPL,BPL.NS
BRFL,BRFL.NS
BRIGADE,BRIGADE.NS
BRIGHT,BRIGHT.NS
BRITANNIA,BRITANNIA.NS
BRNL,BRNL.NS
BROOKS,BROOKS.NS
BSE,BSE.NS
BSELINFRA,BSELINFRA.NS
BSHSL,BSHSL.NS
BSL,BSL.NS
BSLGOLDETF,BSLGOLDETF.NS
BSLNIFTY,BSLNIFTY.NS
BSOFT,BSOFT.NS
BTML,BTML.NS
BURGERKING,BURGERKING.NS
BURNPUR,BURNPUR.NS
BUTTERFLY,BUTTERFLY.NS
BVCL,BVCL.NS
BYKE,BYKE.NS
CADILAHC,CADILAHC.NS
CADSYS,CADSYS.NS
CALSOFT,CALSOFT.NS
CAMLINFINE,CAMLINFINE.NS
CAMS,CAMS.NS
CANBK,CANBK.NS
CANDC,CANDC.NS
CANFINHOME,CANFINHOME.NS
CANTABIL,CANTABIL.NS
CAPACITE,CAPACITE.NS
CAPLIPOINT,CAPLIPOINT.NS
CAPTRUST,CAPTRUST.NS
CARBORUNIV,CARBORUNIV.NS
CAREERP,CAREERP.NS
CARERATING,CARERATING.NS
CASTEXTECH,CASTEXTECH.NS
CASTROLIND,CASTROLIND.NS
CCCL,CCCL.NS
CCHHL,CCHHL.NS
CCL,CCL.NS
CDSL,CDSL.NS
CEATLTD,CEATLTD.NS
CEBBCO,CEBBCO.NS
CELEBRITY,CELEBRITY.NS
CENTENKA,CENTENKA.NS
CENTEXT,CENTEXT.NS
CENTRALBK,CENTRALBK.NS
CENTRUM,CENTRUM.NS
CENTUM,CENTUM.NS
CENTURYPLY,CENTURYPLY.NS
CENTURYTEX,CENTURYTEX.NS
CERA,CERA.NS
CEREBRAINT,CEREBRAINT.NS
CESC,CESC.NS
CGCL,CGCL.NS
CGPOWER,CGPOWER.NS
CHALET,CHALET.NS
CHAMBLFERT,CHAMBLFERT.NS
CHEMBOND,CHEMBOND.NS
CHEMCON,CHEMCON.NS
CHEMFAB,CHEMFAB.NS
CHENNPETRO,CHENNPETRO.NS
CHOLAFIN,CHOLAFIN.NS
CHOLAHLDNG,CHOLAHLDNG.NS
CHROMATIC,CHROMATIC.NS
CIGNITITEC,CIGNITITEC.NS
CINELINE,CINELINE.NS
CINEVISTA,CINEVISTA.NS
CIPLA,CIPLA.NS
CKPLEISURE,CKPLEISURE.NS
CLEDUCATE,CLEDUCATE.NS
CLNINDIA,CLNINDIA.NS
CMICABLES,CMICABLES.NS
CMMIPL,CMMIPL.NS
COALINDIA,COALINDIA.NS
COCHINSHIP,COCHINSHIP.NS
COFFEEDAY,COFFEEDAY.NS
COFORGE,COFORGE.NS
COLPAL,COLPAL.NS
COMPINFO,COMPINFO.NS
COMPUSOFT,COMPUSOFT.NS
CONCOR,CONCOR.NS
CONFIPET,CONFIPET.NS
CONSOFINVT,CONSOFINVT.NS
CONTI,CONTI.NS
CONTROLPR,CONTROLPR.NS
CORALFINAC,CORALFINAC.NS
CORDSCABLE,CORDSCABLE.NS
COROMANDEL,COROMANDEL.NS
COSMOFILMS,COSMOFILMS.NS
COUNCODOS,COUNCODOS.NS
COX&KINGS,COX&KINGS.NS
CPSEETF,CPSEETF.NS
CRAFTSMAN,CRAFTSMAN.NS
CREATIVE,CREATIVE.NS
CREATIVEYE,CREATIVEYE.NS
CREDITACC,CREDITACC.NS
CREST,CREST.NS
CRISIL,CRISIL.NS
CROMPTON,CROMPTON.NS
CROWN,CROWN.NS
CSBBANK,CSBBANK.NS
CTE,CTE.NS
CUB,CUB.NS
CUBEXTUB,CUBEXTUB.NS
CUMMINSIND,CUMMINSIND.NS
CUPID,CUPID.NS
CYBERMEDIA,CYBERMEDIA.NS
CYBERTECH,CYBERTECH.NS
CYIENT,CYIENT.NS
DAAWAT,DAAWAT.NS
DABUR,DABUR.NS
DALALSTCOM,DALALSTCOM.NS
DALBHARAT,DALBHARAT.NS
DALMIASUG,DALMIASUG.NS
DAMODARIND,DAMODARIND.NS
DANGEE,DANGEE.NS
DATAMATICS,DATAMATICS.NS
DBCORP,DBCORP.NS
DBL,DBL.NS
DBREALTY,DBREALTY.NS
DBSTOCKBRO,DBSTOCKBRO.NS
DCAL,DCAL.NS
DCBBANK,DCBBANK.NS
DCM,DCM.NS
DCMFINSERV,DCMFINSERV.NS
DCMNVL,DCMNVL.NS
DCMSHRIRAM,DCMSHRIRAM.NS
DCW,DCW.NS
DECCANCE,DECCANCE.NS
DEEPAKFERT,DEEPAKFERT.NS
DEEPAKNTR,DEEPAKNTR.NS
DEEPENR,DEEPENR.NS
DEEPINDS,DEEPINDS.NS
DELTACORP,DELTACORP.NS
DELTAMAGNT,DELTAMAGNT.NS
DEN,DEN.NS
DENORA,DENORA.NS
DEVIT,DEVIT.NS
DFMFOODS,DFMFOODS.NS
DGCONTENT,DGCONTENT.NS
DHAMPURSUG,DHAMPURSUG.NS
DHANBANK,DHANBANK.NS
DHANI,DHANI.NS
DHANILOANS,DHANILOANS.NS
DHANIPP,DHANIPP.NS
DHANUKA,DHANUKA.NS
DHARSUGAR,DHARSUGAR.NS
DHFL,DHFL.NS
DHUNINV,DHUNINV.NS
DIAMONDYD,DIAMONDYD.NS
DIAPOWER,DIAPOWER.NS
DICIND,DICIND.NS
DIGISPICE,DIGISPICE.NS
DISHTV,DISHTV.NS
DIVISLAB,DIVISLAB.NS
DIXON,DIXON.NS
DLF,DLF.NS
DLINKINDIA,DLINKINDIA.NS
DMART,DMART.NS
DNAMEDIA,DNAMEDIA.NS
DOLAT,DOLAT.NS
DOLLAR,DOLLAR.NS
DONEAR,DONEAR.NS
DPABHUSHAN,DPABHUSHAN.NS
DPSCLTD,DPSCLTD.NS
DPWIRES,DPWIRES.NS
DQE,DQE.NS
DRCSYSTEMS,DRCSYSTEMS.NS
DREDGECORP,DREDGECORP.NS
DRREDDY,DRREDDY.NS
DSSL,DSSL.NS
DTIL,DTIL.NS
DUCON,DUCON.NS
DVL,DVL.NS
DWARKESH,DWARKESH.NS
DYNAMATECH,DYNAMATECH.NS
DYNPRO,DYNPRO.NS
E2E,E2E.NS
EASEMYTRIP,EASEMYTRIP.NS
EASTSILK,EASTSILK.NS
EASUNREYRL,EASUNREYRL.NS
EBANK,EBANK.NS
EBBETF0423,EBBETF0423.NS
EBBETF0425,EBBETF0425.NS
EBBETF0430,EBBETF0430.NS
EBBETF0431,EBBETF0431.NS
EBIXFOREX,EBIXFOREX.NS
EC3RG,EC3RG.NS
EC4RG,EC4RG.NS
ECLERX,ECLERX.NS
ECLFINANCE,ECLFINANCE.NS
EDELWEISS,EDELWEISS.NS
EDUCOMP,EDUCOMP.NS
EHFLNCD,EHFLNCD.NS
EICHERMOT,EICHERMOT.NS
EIDPARRY,EIDPARRY.NS
EIHAHOTELS,EIHAHOTELS.NS
EIHOTEL,EIHOTEL.NS
EIMCOELECO,EIMCOELECO.NS
EKC,EKC.NS
ELECON,ELECON.NS
ELECTCAST,ELECTCAST.NS
ELECTHERM,ELECTHERM.NS
ELGIEQUIP,ELGIEQUIP.NS
ELGIRUBCO,ELGIRUBCO.NS
EMAMILTD,EMAMILTD.NS
EMAMIPAP,EMAMIPAP.NS
EMAMIREAL,EMAMIREAL.NS
EMBASSY,EMBASSY.NS
EMCO,EMCO.NS
EMKAY,EMKAY.NS
EMKAYTOOLS,EMKAYTOOLS.NS
EMMBI,EMMBI.NS
EMOFSR1RDP,EMOFSR1RDP.NS
EMOFSR1RGG,EMOFSR1RGG.NS
ENDURANCE,ENDURANCE.NS
ENERGYDEV,ENERGYDEV.NS
ENGINERSIN,ENGINERSIN.NS
ENIL,ENIL.NS
EPL,EPL.NS
EQ30,EQ30.NS
EQUITAS,EQUITAS.NS
EQUITASBNK,EQUITASBNK.NS
ERFLNCDI,ERFLNCDI.NS
ERIS,ERIS.NS
EROSMEDIA,EROSMEDIA.NS
ESABINDIA,ESABINDIA.NS
ESCORTS,ESCORTS.NS
ESSARSHPNG,ESSARSHPNG.NS
ESTER,ESTER.NS
EUROMULTI,EUROMULTI.NS
EUROTEXIND,EUROTEXIND.NS
EVEREADY,EVEREADY.NS
EVERESTIND,EVERESTIND.NS
EXCEL,EXCEL.NS
EXCELINDUS,EXCELINDUS.NS
EXIDEIND,EXIDEIND.NS
EXPLEOSOL,EXPLEOSOL.NS
FACT,FACT.NS
FAIRCHEMOR,FAIRCHEMOR.NS
FCL,FCL.NS
FCONSUMER,FCONSUMER.NS
FCSSOFT,FCSSOFT.NS
FDC,FDC.NS
FEDERALBNK,FEDERALBNK.NS
FEL,FEL.NS
FELDVR,FELDVR.NS
FIEMIND,FIEMIND.NS
FILATEX,FILATEX.NS
FILDF2GP,FILDF2GP.NS
FINCABLES,FINCABLES.NS
FINEORG,FINEORG.NS
FINPIPE,FINPIPE.NS
FLEXITUFF,FLEXITUFF.NS
FLFL,FLFL.NS
FLUOROCHEM,FLUOROCHEM.NS
FMGOETZE,FMGOETZE.NS
FMNL,FMNL.NS
FORCEMOT,FORCEMOT.NS
FORTIS,FORTIS.NS
FOSECOIND,FOSECOIND.NS
FRETAIL,FRETAIL.NS
FSC,FSC.NS
FSL,FSL.NS
G5,G5.NS
GABRIEL,GABRIEL.NS
GAEL,GAEL.NS
GAIL,GAIL.NS
GAL,GAL.NS
GALAXYSURF,GALAXYSURF.NS
GALLANTT,GALLANTT.NS
GALLISPAT,GALLISPAT.NS
GAMMNINFRA,GAMMNINFRA.NS
GANDHITUBE,GANDHITUBE.NS
GANECOS,GANECOS.NS
GANESHHOUC,GANESHHOUC.NS
GANGAFORGE,GANGAFORGE.NS
GANGESSECU,GANGESSECU.NS
GANGOTRI,GANGOTRI.NS
GARFIBRES,GARFIBRES.NS
GATI,GATI.NS
GAYAHWS,GAYAHWS.NS
GAYAPROJ,GAYAPROJ.NS
GBGLOBAL,GBGLOBAL.NS
GDL,GDL.NS
GEECEE,GEECEE.NS
GEEKAYWIRE,GEEKAYWIRE.NS
GENCON,GENCON.NS
GENESYS,GENESYS.NS
GENUSPAPER,GENUSPAPER.NS
GENUSPOWER,GENUSPOWER.NS
GEOJITFSL,GEOJITFSL.NS
GEPIL,GEPIL.NS
GESHIP,GESHIP.NS
GET&D,GET&D.NS
GFLLIMITED,GFLLIMITED.NS
GFSTEELS,GFSTEELS.NS
GHCL,GHCL.NS
GICHSGFIN,GICHSGFIN.NS
GICRE,GICRE.NS
GILLANDERS,GILLANDERS.NS
GILLETTE,GILLETTE.NS
GINNIFILA,GINNIFILA.NS
GIPCL,GIPCL.NS
GISOLUTION,GISOLUTION.NS
GKWLIMITED,GKWLIMITED.NS
GLAND,GLAND.NS
GLAXO,GLAXO.NS
GLENMARK,GLENMARK.NS
GLFL,GLFL.NS
GLOBAL,GLOBAL.NS
GLOBALVECT,GLOBALVECT.NS
GLOBE,GLOBE.NS
GLOBUSSPR,GLOBUSSPR.NS
GMBREW,GMBREW.NS
GMDCLTD,GMDCLTD.NS
GMMPFAUDLR,GMMPFAUDLR.NS
GMRINFRA,GMRINFRA.NS
GNA,GNA.NS
GNFC,GNFC.NS
GOACARBON,GOACARBON.NS
GOCLCORP,GOCLCORP.NS
GODFRYPHLP,GODFRYPHLP.NS
GODHA,GODHA.NS
GODREJAGRO,GODREJAGRO.NS
GODREJCP,GODREJCP.NS
GODREJIND,GODREJIND.NS
GODREJPROP,GODREJPROP.NS
GOENKA,GOENKA.NS
GOKEX,GOKEX.NS
GOKUL,GOKUL.NS
GOKULAGRO,GOKULAGRO.NS
GOLDBEES,GOLDBEES.NS
GOLDENTOBC,GOLDENTOBC.NS
GOLDIAM,GOLDIAM.NS
GOLDSHARE,GOLDSHARE.NS
GOLDTECH,GOLDTECH.NS
GOODLUCK,GOODLUCK.NS
GOODYEAR,GOODYEAR.NS
GPIL,GPIL.NS
GPPL,GPPL.NS
GPTINFRA,GPTINFRA.NS
GRANULES,GRANULES.NS
GRAPHITE,GRAPHITE.NS
GRASIM,GRASIM.NS
GRAVITA,GRAVITA.NS
GREAVESCOT,GREAVESCOT.NS
GREENLAM,GREENLAM.NS
GREENPANEL,GREENPANEL.NS
GREENPLY,GREENPLY.NS
GREENPOWER,GREENPOWER.NS
GRINDWELL,GRINDWELL.NS
GROBTEA,GROBTEA.NS
GRPLTD,GRPLTD.NS
GRSE,GRSE.NS
GSCLCEMENT,GSCLCEMENT.NS
GSFC,GSFC.NS
GSPL,GSPL.NS
GSS,GSS.NS
GTL,GTL.NS
GTLINFRA,GTLINFRA.NS
GTNTEX,GTNTEX.NS
GTPL,GTPL.NS
GUFICBIO,GUFICBIO.NS
GUJALKALI,GUJALKALI.NS
GUJAPOLLO,GUJAPOLLO.NS
GUJGASLTD,GUJGASLTD.NS
GUJRAFFIA,GUJRAFFIA.NS
GULFOILLUB,GULFOILLUB.NS
GULFPETRO,GULFPETRO.NS
GULPOLY,GULPOLY.NS
GVKPIL,GVKPIL.NS
HAL,HAL.NS
HAPPSTMNDS,HAPPSTMNDS.NS
HARRMALAYA,HARRMALAYA.NS
HATHWAY,HATHWAY.NS
HATSUN,HATSUN.NS
HAVELLS,HAVELLS.NS
HAVISHA,HAVISHA.NS
HBANKETF,HBANKETF.NS
HBLPOWER,HBLPOWER.NS
HBSL,HBSL.NS
HCC,HCC.NS
HCG,HCG.NS
HCL-INSYS,HCL-INSYS.NS
HCLTECH,HCLTECH.NS
HDFC,HDFC.NS
HDFCAMC,HDFCAMC.NS
HDFCBANK,HDFCBANK.NS
HDFCLIFE,HDFCLIFE.NS
HDFCMFGETF,HDFCMFGETF.NS
HDFCNIFETF,HDFCNIFETF.NS
HDFCSENETF,HDFCSENETF.NS
HDIL,HDIL.NS
HECPROJECT,HECPROJECT.NS
HEG,HEG.NS
HEIDELBERG,HEIDELBERG.NS
HEMIPROP,HEMIPROP.NS
HEOFRG1126,HEOFRG1126.NS
HERANBA,HERANBA.NS
HERCULES,HERCULES.NS
HERITGFOOD,HERITGFOOD.NS
HEROMOTOCO,HEROMOTOCO.NS
HESTERBIO,HESTERBIO.NS
HEXATRADEX,HEXATRADEX.NS
HFCL,HFCL.NS
HGINFRA,HGINFRA.NS
HGS,HGS.NS
HIKAL,HIKAL.NS
HIL,HIL.NS
HILTON,HILTON.NS
HIMATSEIDE,HIMATSEIDE.NS
HINDALCO,HINDALCO.NS
HINDCOMPOS,HINDCOMPOS.NS
HINDCOPPER,HINDCOPPER.NS
HINDMOTORS,HINDMOTORS.NS
HINDNATGLS,HINDNATGLS.NS
HINDOILEXP,HINDOILEXP.NS
HINDPETRO,HINDPETRO.NS
HINDUNILVR,HINDUNILVR.NS
HINDZINC,HINDZINC.NS
HIRECT,HIRECT.NS
HISARMETAL,HISARMETAL.NS
HITECH,HITECH.NS
HITECHCORP,HITECHCORP.NS
HITECHGEAR,HITECHGEAR.NS
HLEGLAS,HLEGLAS.NS
HLVLTD,HLVLTD.NS
HMT,HMT.NS
HMVL,HMVL.NS
HNDFDS,HNDFDS.NS
HNGSNGBEES,HNGSNGBEES.NS
HOMEFIRST,HOMEFIRST.NS
HONAUT,HONAUT.NS
HONDAPOWER,HONDAPOWER.NS
HOTELRUGBY,HOTELRUGBY.NS
HOVS,HOVS.NS
HPL,HPL.NS
HSCL,HSCL.NS
HSIL,HSIL.NS
HTMEDIA,HTMEDIA.NS
HUBTOWN,HUBTOWN.NS
HUDCO,HUDCO.NS
HUHTAMAKI,HUHTAMAKI.NS
HUSYSLTD,HUSYSLTD.NS
IBMFNIFTY,IBMFNIFTY.NS
IBREALEST,IBREALEST.NS
IBUCCREDIT,IBUCCREDIT.NS
IBULHSGFIN,IBULHSGFIN.NS
ICEMAKE,ICEMAKE.NS
ICICI500,ICICI500.NS
ICICIALPLV,ICICIALPLV.NS
ICICIB22,ICICIB22.NS
ICICIBANK,ICICIBANK.NS
ICICIBANKN,ICICIBANKN.NS
ICICIBANKP,ICICIBANKP.NS
ICICIGI,ICICIGI.NS
ICICIGOLD,ICICIGOLD.NS
ICICILIQ,ICICILIQ.NS
ICICILOVOL,ICICILOVOL.NS
ICICIM150,ICICIM150.NS
ICICIMCAP,ICICIMCAP.NS
ICICINF100,ICICINF100.NS
ICICINIFTY,ICICINIFTY.NS
ICICINV20,ICICINV20.NS
ICICINXT50,ICICINXT50.NS
ICICIPRULI,ICICIPRULI.NS
ICICISENSX,ICICISENSX.NS
ICICITECH,ICICITECH.NS
ICIL,ICIL.NS
ICRA,ICRA.NS
IDBI,IDBI.NS
IDBIGOLD,IDBIGOLD.NS
IDEA,IDEA.NS
IDFC,IDFC.NS
IDFCFIRSTB,IDFCFIRSTB.NS
IDFNIFTYET,IDFNIFTYET.NS
IEX,IEX.NS
IFBAGRO,IFBAGRO.NS
IFBIND,IFBIND.NS
IFCI,IFCI.NS
IFGLEXPOR,IFGLEXPOR.NS
IGARASHI,IGARASHI.NS
IGL,IGL.NS
IGPL,IGPL.NS
IIFCL,IIFCL.NS
IIFL,IIFL.NS
IIFLSEC,IIFLSEC.NS
IIFLWAM,IIFLWAM.NS
IITL,IITL.NS
IL&FSENGG,IL&FSENGG.NS
IL&FSTRANS,IL&FSTRANS.NS
IMAGICAA,IMAGICAA.NS
IMFA,IMFA.NS
IMPAL,IMPAL.NS
IMPEXFERRO,IMPEXFERRO.NS
INDBANK,INDBANK.NS
INDHOTEL,INDHOTEL.NS
INDIACEM,INDIACEM.NS
INDIAGLYCO,INDIAGLYCO.NS
INDIAMART,INDIAMART.NS
INDIANB,INDIANB.NS
INDIANCARD,INDIANCARD.NS
INDIANHUME,INDIANHUME.NS
INDIGO,INDIGO.NS
INDIGOPNTS,INDIGOPNTS.NS
INDIGRID,INDIGRID.NS
INDLMETER,INDLMETER.NS
INDNIPPON,INDNIPPON.NS
INDOCO,INDOCO.NS
INDORAMA,INDORAMA.NS
INDOSOLAR,INDOSOLAR.NS
INDOSTAR,INDOSTAR.NS
INDOTECH,INDOTECH.NS
INDOTHAI,INDOTHAI.NS
